python train.py                                                                                                               ✔  6s   torch  
Map: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1368/1368 [00:00<00:00, 4806.15 examples/s]
✅ Starting training...
  0%|                                                                                                                                                                              | 0/10260 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
{'loss': 9.3368, 'grad_norm': 27.667043685913086, 'learning_rate': 2.3391812865497075e-06, 'epoch': 0.15}                                                                                                    
{'loss': 0.081, 'grad_norm': 0.7167543768882751, 'learning_rate': 1.4186701321204245e-06, 'epoch': 29.24}                                                                                                    
{'loss': 0.0821, 'grad_norm': 0.8635176420211792, 'learning_rate': 1.1479315572882824e-06, 'epoch': 29.39}                                                                                                   
{'loss': 0.0793, 'grad_norm': 0.707695722579956, 'learning_rate': 8.771929824561404e-07, 'epoch': 29.53}                                                                                                     
{'loss': 0.0816, 'grad_norm': 1.009731650352478, 'learning_rate': 6.118691791206411e-07, 'epoch': 29.68}                                                                                                     
{'loss': 0.0733, 'grad_norm': 0.7352859973907471, 'learning_rate': 3.41130604288499e-07, 'epoch': 29.82}                                                                                                     
{'loss': 0.0794, 'grad_norm': 1.0421332120895386, 'learning_rate': 7.039202945635695e-08, 'epoch': 29.97}    
{'loss': 0.0845, 'grad_norm': 0.6437689661979675, 'learning_rate': 1.6894087069525666e-06, 'epoch': 29.09}                                                                             
{'loss': 0.0832, 'grad_norm': 0.8660368919372559, 'learning_rate': 1.4186701321204245e-06, 'epoch': 29.24}                                                                             
{'loss': 0.085, 'grad_norm': 0.8809223175048828, 'learning_rate': 1.1479315572882824e-06, 'epoch': 29.39}                                                                              
{'loss': 0.0819, 'grad_norm': 0.7963011860847473, 'learning_rate': 8.771929824561404e-07, 'epoch': 29.53}                                                                              
{'loss': 0.0837, 'grad_norm': 0.9979516863822937, 'learning_rate': 6.064544076239983e-07, 'epoch': 29.68}                                                                              
{'loss': 0.0754, 'grad_norm': 0.8083382248878479, 'learning_rate': 3.3571583279185623e-07, 'epoch': 29.82}                                                                             
{'loss': 0.0817, 'grad_norm': 1.1747702360153198, 'learning_rate': 6.49772579597141e-08, 'epoch': 29.97}                                                                                                 
{'train_runtime': 21523.053, 'train_samples_per_second': 2.484, 'train_steps_per_second': 0.621, 'train_loss': 0.22350653064878365, 'epoch': 30.0}                                                           
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 10260/10260 [4:35:23<00:00,  1.61s/it]
✅ Saving model...

                                                                            
